Headline,Date,url,description,image,include,section,title,hero,original_image_url
Empty boots,1/30/10,https://flickr.com/photos/timmeko/4315205826/,Illustration about the toll in iraq.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/empty-boots_4315205826_o.jpg,,more,Empty boots,/assets/images/more-empty-boots_4315205826_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/empty-boots_4315205826_o.jpg
Energy in Virginia,8/25/11,https://flickr.com/photos/timmeko/6080829654/,Poster that I created for the Science Museum of Virginia that displays everything about energy in Virginia. A super-high resolution zoomable version is available here: zoom.it/Vzn9,/Users/mekot/mcp-files/timmeko-dot-com/flickr/energy-in-virginia_6080829654_o.jpg,1,more,Energy in Virginia,/assets/images/more-energy-in-virginia_6080829654_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/energy-in-virginia_6080829654_o.jpg
Evapotranspiration ratio vs precipitation,9/11/09,https://flickr.com/photos/timmeko/3909050309/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/evapotranspiration-ratio-vs-precipitation_3909050309_o.jpg,,more,Evapotranspiration ratio vs precipitation,/assets/images/more-evapotranspiration-ratio-vs-precipitation_3909050309_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/evapotranspiration-ratio-vs-precipitation_3909050309_o.jpg
Exploring the buckeye state,8/3/09,https://flickr.com/photos/timmeko/3785534349/,"This was a bi-monthly graphic that Tom Baker and I worked on. Each month, we would profile a different state (in the order they were granted statehood).",/Users/mekot/mcp-files/timmeko-dot-com/flickr/exploring-the-buckeye-state_3785534349_o.jpg,1,more,Exploring the buckeye state,/assets/images/more-exploring-the-buckeye-state_3785534349_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/exploring-the-buckeye-state_3785534349_o.jpg
Feeling the sting,1/30/10,https://flickr.com/photos/timmeko/4314470041/,Illustration centerpiece design about the declining honey bee population,/Users/mekot/mcp-files/timmeko-dot-com/flickr/feeling-the-sting_4314470041_o.jpg,1,more,Feeling the sting,/assets/images/more-feeling-the-sting_4314470041_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/feeling-the-sting_4314470041_o.jpg
Financing Public Higher Education,12/14/15,https://flickr.com/photos/timmeko/23121189894/,webapp.urban.org/higher-education/,/Users/mekot/mcp-files/timmeko-dot-com/flickr/financing-public-higher-education_23121189894_o.png,,more,Financing Public Higher Education,/assets/images/more-financing-public-higher-education_23121189894_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/financing-public-higher-education_23121189894_o.png
Financing Public Higher Education,12/14/15,https://flickr.com/photos/timmeko/23640836402/,webapp.urban.org/higher-education/,/Users/mekot/mcp-files/timmeko-dot-com/flickr/financing-public-higher-education_23640836402_o.png,,more,Financing Public Higher Education,/assets/images/more-financing-public-higher-education_23640836402_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/financing-public-higher-education_23640836402_o.png
Financing Public Higher Education,12/14/15,https://flickr.com/photos/timmeko/23749329095/,webapp.urban.org/higher-education/,/Users/mekot/mcp-files/timmeko-dot-com/flickr/financing-public-higher-education_23749329095_o.png,,more,Financing Public Higher Education,/assets/images/more-financing-public-higher-education_23749329095_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/financing-public-higher-education_23749329095_o.png
Flora,9/11/09,https://flickr.com/photos/timmeko/3909049075/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/flora_3909049075_o.jpg,1,more,Flora,/assets/images/more-flora_3909049075_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/flora_3909049075_o.jpg
Following the Donors Trust Money Trail,3/26/13,https://flickr.com/photos/timmeko/8592634082/,Interactive diagram for the Center for Public Integrity: www.publicintegrity.org/2013/02/14/12151/following-donors...,/Users/mekot/mcp-files/timmeko-dot-com/flickr/following-the-donors-trust-money-trail_8592634082_o.png,1,more,Following the Donors Trust Money Trail,/assets/images/more-following-the-donors-trust-money-trail_8592634082_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/following-the-donors-trust-money-trail_8592634082_o.png
Fraser river,8/3/09,https://flickr.com/photos/timmeko/3785524521/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/fraser-river_3785524521_o.jpg,,more,Fraser river,/assets/images/more-fraser-river_3785524521_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/fraser-river_3785524521_o.jpg
Geology of Natural Gas Resources,9/2/11,https://flickr.com/photos/timmeko/6106057777/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/geology-of-natural-gas-resources_6106057777_o.jpg,1,more,Geology of Natural Gas Resources,/assets/images/more-geology-of-natural-gas-resources_6106057777_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/geology-of-natural-gas-resources_6106057777_o.jpg
Getting bigger,1/30/10,https://flickr.com/photos/timmeko/4314470011/,A1 design of fictional Athens Ohio newspaper that I designed from the ground up,/Users/mekot/mcp-files/timmeko-dot-com/flickr/getting-bigger_4314470011_o.jpg,,more,Getting bigger,/assets/images/more-getting-bigger_4314470011_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/getting-bigger_4314470011_o.jpg
Ghana,8/28/12,https://flickr.com/photos/timmeko/7880054990/,Map of Ghana for a UI proposal,/Users/mekot/mcp-files/timmeko-dot-com/flickr/ghana_7880054990_o.jpg,,more,Ghana,/assets/images/more-ghana_7880054990_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/ghana_7880054990_o.jpg
Golden Toad,11/5/10,https://flickr.com/photos/timmeko/5147621600/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/golden-toad_5147621600_o.jpg,,more,Golden Toad,/assets/images/more-golden-toad_5147621600_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/golden-toad_5147621600_o.jpg
Grand Canyon,8/3/09,https://flickr.com/photos/timmeko/3786329560/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/grand-canyon_3786329560_o.jpg,,more,Grand Canyon,/assets/images/more-grand-canyon_3786329560_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/grand-canyon_3786329560_o.jpg
Great smoky mountains,8/3/09,https://flickr.com/photos/timmeko/3785530843/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/great-smoky-mountains_3785530843_o.jpg,,more,Great smoky mountains,/assets/images/more-great-smoky-mountains_3785530843_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/great-smoky-mountains_3785530843_o.jpg
Greenhouse Gases,11/5/10,https://flickr.com/photos/timmeko/5147010881/,A look at global greenhouse gas emissions,/Users/mekot/mcp-files/timmeko-dot-com/flickr/greenhouse-gases_5147010881_o.jpg,,more,Greenhouse Gases,/assets/images/more-greenhouse-gases_5147010881_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/greenhouse-gases_5147010881_o.jpg
Hoop dreams,8/3/09,https://flickr.com/photos/timmeko/3785535077/,Locating every high school to ever appear in the state basketball final four. The sports editor and I spent two days plotting every school.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/hoop-dreams_3785535077_o.jpg,1,more,Hoop dreams,/assets/images/more-hoop-dreams_3785535077_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/hoop-dreams_3785535077_o.jpg
How a Lightstick works,11/5/10,https://flickr.com/photos/timmeko/5147613976/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/how-a-lightstick-works_5147613976_o.jpg,,more,How a Lightstick works,/assets/images/more-how-a-lightstick-works_5147613976_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/how-a-lightstick-works_5147613976_o.jpg
How your district did,9/7/09,https://flickr.com/photos/timmeko/3897719620/,An interactive list of central Ohio's school districts and thier scores on the 2009 school report card. This interactive package was built in order to be updated quickly from a spreadsheet file. Modifying and updating for another purpose would take no more than five minutes.,/Users/mekot/mcp-files/timmeko-dot-com/flickr/how-your-district-did_3897719620_o.png,,more,How your district did,/assets/images/more-how-your-district-did_3897719620_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/how-your-district-did_3897719620_o.png
Human Trafficking,8/4/09,https://flickr.com/photos/timmeko/3788354829/,Interactive package about human trafficking in central Ohio. audio.dispatch.com/flash/human_trafficking/trafficking.html,/Users/mekot/mcp-files/timmeko-dot-com/flickr/human-trafficking_3788354829_o.png,,more,Human Trafficking,/assets/images/more-human-trafficking_3788354829_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/human-trafficking_3788354829_o.png
Huntington Park: An Insiders view,8/4/09,https://flickr.com/photos/timmeko/3789165210/,Interactive look at the new Columbus Clippers baseball park. I shot 360 degree panoramic photographs from eight points within the park. audio.dispatch.com/flash/huntington/huntington.html,/Users/mekot/mcp-files/timmeko-dot-com/flickr/huntington-park-an-insiders-view_3789165210_o.png,1,more,Huntington Park: An Insiders view,/assets/images/more-huntington-park-an-insiders-view_3789165210_o.png,/Users/mekot/mcp-files/timmeko-dot-com/flickr/huntington-park-an-insiders-view_3789165210_o.png
Huntington Park,8/3/09,https://flickr.com/photos/timmeko/3785532451/,,/Users/mekot/mcp-files/timmeko-dot-com/flickr/huntington-park_3785532451_o.jpg,,more,Huntington Park,/assets/images/more-huntington-park_3785532451_o.jpg,/Users/mekot/mcp-files/timmeko-dot-com/flickr/huntington-park_3785532451_o.jpg
