Headline,Date,url,description,image,include,section,title,hero,original_image_url
Islamic State fighters returning home,22-Feb-18,http://www.washingtonpost.com/graphics/2018/world/isis-returning-fighters/,"Now that the Islamic State has fallen in Iraq and Syria, where its remaining fighters going?",https://www.washingtonpost.com/graphics/2018/world/isis-returning-fighters/img/2300-foreignfighters-promo.jpg,1,more,Islamic State fighters returning home,/assets/images/more-2300-foreignfighters-promo.jpg,https://www.washingtonpost.com/graphics/2018/world/isis-returning-fighters/img/2300-foreignfighters-promo.jpg
Mapping the perfect U.S. winter Olympic city,26-Jan-18,http://www.washingtonpost.com/graphics/2018/national/happy-700-american-pyeongchang/,"South Koreans say this year?s Olympic host is at the perfect elevation. In the U.S., this Idaho city measures up best",https://www.washingtonpost.com/graphics/2018/national/happy-700-american-pyeongchang/img/happy-700-promo.jpg,1,more,Mapping the perfect U.S. winter Olympic city,/assets/images/more-happy-700-promo.jpg,https://www.washingtonpost.com/graphics/2018/national/happy-700-american-pyeongchang/img/happy-700-promo.jpg
Before and after photos of the mudslides in Montecito,12-Jan-18,http://www.washingtonpost.com/graphics/2018/national/montecito-before-after/,"Just days after intense rains triggered deadly mudslides in Montecito, satellite images reveal the destruction.",https://www.washingtonpost.com/graphics/2018/national/montecito-before-after/img/2300-Montecito_Bef_Aft-promo.jpg,1,more,Before and after photos of the mudslides in Montecito,/assets/images/more-2300-Montecito_Bef_Aft-promo.jpg,https://www.washingtonpost.com/graphics/2018/national/montecito-before-after/img/2300-Montecito_Bef_Aft-promo.jpg
What made North Korea's weapons programs so much scarier in 2017,21-Dec-17,https://www.washingtonpost.com/news/worldviews/wp/2017/12/21/what-made-north-koreas-weapons-programs-so-much-scarier-in-2017/,North Korea's missile and nuclear weapons program went from silly to scary this year. What's next?,https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/worldviews/files/2017/12/image-1.png&w=1440,1,more,What made North Korea's weapons programs so much scarier in 2017,/assets/images/more-imrs.php,https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/worldviews/files/2017/12/image-1.png&w=1440
Areas cut out of Utah monuments could reopen to mining and drilling,7-Dec-17,http://www.washingtonpost.com/graphics/2017/national/utah-monuments/,"President Trump drastically reduced the size of two national monuments in Utah, potentially opening about 2 million acres of public land to mineral extraction and other activities in a state in which about 65 percent of all land is federally owned.",https://www.washingtonpost.com/graphics/2017/national/utah-monuments/img/utah-promo-static.jpg,1,more,Areas cut out of Utah monuments could reopen to mining and drilling,/assets/images/more-utah-promo-static.jpg,https://www.washingtonpost.com/graphics/2017/national/utah-monuments/img/utah-promo-static.jpg
Mapping the DMZ,13-Nov-17,http://www.washingtonpost.com/graphics/2017/world/mapping-the-dmz/,"This thin ribbon of land separates North and South Korea, why should we care?",https://www.washingtonpost.com/rf/image_982w/2010-2019/WashingtonPost/2017/11/10/Foreign/Graphics/promo-DMZKorea.jpg,1,more,Mapping the DMZ,/assets/images/more-promo-DMZKorea.jpg,https://www.washingtonpost.com/rf/image_982w/2010-2019/WashingtonPost/2017/11/10/Foreign/Graphics/promo-DMZKorea.jpg
The rise and fall of the Islamic State in Iraq and Syria,17-Oct-17,http://www.washingtonpost.com/graphics/2017/world/rise-and-fall-of-isis/,,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/10/17/Foreign/Graphics/2300-isis-promo.jpg,1,more,The rise and fall of the Islamic State in Iraq and Syria,/assets/images/more-2300-isis-promo.jpg,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/10/17/Foreign/Graphics/2300-isis-promo.jpg
Satellite images reveal the devastation of the California fires,12-Oct-17,http://www.washingtonpost.com/graphics/2017/national/,Hundreds of thousands of acres have burned and thousands of homes and other structures have been destroyed.,http://www.washingtonpost.com/graphics/2017/national/,,more,Satellite images reveal the devastation of the California fires,/assets/images/more-national,http://www.washingtonpost.com/graphics/2017/national/
Maria's deluge on Puerto Rico,21-Sep-17,http://www.washingtonpost.com/graphics/2017/national/maria-puerto-rico/,,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/09/21/Health-Environment-Science/Graphics/PRrainpromo.jpg,1,more,Maria's deluge on Puerto Rico,/assets/images/more-PRrainpromo.jpg,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/09/21/Health-Environment-Science/Graphics/PRrainpromo.jpg
What's in the path of Hurricane Maria,20-Sep-17,http://www.washingtonpost.com/graphics/2017/national/hurricane-maria/,"Hurricane Maria made landfall as a Category 4 storm Wednesday morning in Puerto Rico, bringing winds at about 160 mph to an island that dodged the worst of Hurricane Irma's destructive power just a few weeks ago.",https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/09/22/Health-Environment-Science/Graphics/2300-hurricane-maria-promo.jpg,,more,What's in the path of Hurricane Maria,/assets/images/more-2300-hurricane-maria-promo.jpg,https://www.washingtonpost.com/r/2010-2019/WashingtonPost/2017/09/22/Health-Environment-Science/Graphics/2300-hurricane-maria-promo.jpg
